,TARGET_SCALE,AVG,MAX_QUEUE_LENGTH,Q2,PART,MAX,BG_SCALE,Q3,MIN,N_SURG,Q1
0,0.5,426.0,8.0,155.0,0.37209302325581395,1789.0,1.0,689.4,5.0,1,39.05
1,0.5,379.0,6.0,252.0,0.2,932.0,1.0,777.15,29.0,1,39.45
2,0.5,127.2,4.0,124.0,0.5172413793103449,309.0,1.0,175.6,5.0,1,44.6
3,0.5,357.6923076923077,9.0,125.0,0.37142857142857144,1712.0,1.0,266.6,10.0,1,47.0
4,0.5,269.54545454545456,9.0,191.0,0.23404255319148937,701.0,1.0,421.8,9.0,1,104.2
5,0.5,242.08333333333334,6.0,113.0,0.41379310344827586,815.0,1.0,378.9,33.0,1,64.9
6,0.5,61.5,2.0,38.5,0.16666666666666666,146.0,1.0,103.25,23.0,1,24.35
7,0.5,496.77777777777777,9.0,207.0,0.5625,2074.0,1.0,344.6,4.0,1,71.5
8,0.5,100.16666666666667,2.0,56.5,0.21428571428571427,331.0,1.0,122.95,16.0,1,28.35
9,0.5,367.22222222222223,4.0,90.0,0.2571428571428571,1059.0,1.0,884.0,8.0,1,63.1
10,0.5,206.0,6.0,206.5,0.3125,548.0,1.0,368.85,2.0,1,13.75
11,0.5,140.0,1.0,71.5,0.21428571428571427,468.0,1.0,156.4,40.0,1,48.55
12,0.5,421.3333333333333,8.0,136.0,0.28125,1294.0,1.0,704.2,4.0,1,64.9
13,0.5,234.6315789473684,10.0,101.0,0.48717948717948717,2086.0,1.0,167.6,2.0,1,29.2
14,0.5,305.26666666666665,13.0,97.0,0.35714285714285715,1546.0,1.0,571.2,19.0,1,50.2
15,0.5,198.8,6.0,115.0,0.4166666666666667,751.0,1.0,284.2,35.0,1,47.4
16,0.5,259.55555555555554,5.0,119.0,0.32142857142857145,1250.0,1.0,245.4,25.0,1,71.9
17,0.5,527.0909090909091,9.0,296.0,0.5,1646.0,1.0,873.0,55.0,1,108.8
18,0.5,95.9090909090909,5.0,79.0,0.3142857142857143,245.0,1.0,108.8,27.0,1,57.2
19,0.5,217.0,3.0,79.5,0.1935483870967742,797.0,1.0,343.85,12.0,1,13.9
20,0.5,123.0,2.0,123.0,0.06451612903225806,209.0,1.0,209.0,37.0,2,37.0
21,0.5,48.5,1.0,46.5,0.14814814814814814,97.0,1.0,80.8,4.0,2,16.6
22,0.5,45.0,1.0,45,0.045454545454545456,45.0,1.0,45,45.0,2,45
23,0.5,47.0,0.0,47,0.037037037037037035,47.0,1.0,47,47.0,2,47
24,0.5,,,--,0.0,,1.0,--,,2,--
25,0.5,29.0,0.0,29,0.020833333333333332,29.0,1.0,29,29.0,2,29
26,0.5,456.5,1.0,456.5,0.06060606060606061,893.0,1.0,893.0,20.0,2,20.0
27,0.5,29.0,1.0,28.0,0.11538461538461539,50.0,1.0,45.6,9.0,2,12.8
28,0.5,41.2,1.0,17.0,0.15151515151515152,89.0,1.0,82.7,7.0,2,11.2
29,0.5,55.75,2.0,41.5,0.09302325581395349,133.0,1.0,93.4,7.0,2,20.95
30,0.5,268.5,5.0,268.5,0.08695652173913043,532.0,1.0,532.0,5.0,2,5.0
31,0.5,,,--,0.0,,1.0,--,,2,--
32,0.5,826.0,3.0,826,0.0625,826.0,1.0,826,826.0,2,826
33,0.5,68.0,3.0,14.0,0.075,180.0,1.0,146.8,10.0,2,10.8
34,0.5,31.5,2.0,31.5,0.06060606060606061,38.0,1.0,38.0,25.0,2,25.0
35,0.5,,,--,0.0,,1.0,--,,2,--
36,0.5,79.85714285714286,2.0,104.0,0.1891891891891892,175.0,1.0,123.8,10.0,2,11.8
37,0.5,34.0,1.0,34,0.03225806451612903,34.0,1.0,34,34.0,2,34
38,0.5,25.0,1.0,25,0.023809523809523808,25.0,1.0,25,25.0,2,25
39,0.5,,,--,0.0,,1.0,--,,2,--
40,1.0,289.2,11.0,101.0,0.37383177570093457,1476.0,1.0,365.05,14.0,1,36.9
41,1.0,221.41860465116278,12.0,63.0,0.3467741935483871,2038.0,1.0,138.8,3.0,1,33.2
42,1.0,466.86,12.0,237.0,0.5,2337.0,1.0,813.8,8.0,1,45.7
43,1.0,218.89473684210526,11.0,170.5,0.4691358024691358,1105.0,1.0,318.3,1.0,1,55.45
44,1.0,354.0740740740741,21.0,157.0,0.391304347826087,1250.0,1.0,565.6,7.0,1,89.8
45,1.0,179.1578947368421,9.0,57.0,0.3958333333333333,1217.0,1.0,167.75,3.0,1,24.0
46,1.0,137.63333333333333,4.0,83.5,0.38461538461538464,770.0,1.0,180.25,1.0,1,34.0
47,1.0,319.2894736842105,16.0,161.5,0.34545454545454546,1150.0,1.0,336.8,8.0,1,60.85
48,1.0,271.58620689655174,17.0,75.0,0.38666666666666666,1604.0,1.0,120.2,7.0,1,42.8
49,1.0,146.37142857142857,7.0,45.0,0.38461538461538464,1269.0,1.0,133.6,2.0,1,24.2
50,1.0,416.38709677419354,9.0,120.0,0.36046511627906974,1950.0,1.0,479.8,23.0,1,60.2
51,1.0,300.60714285714283,12.0,116.0,0.3333333333333333,1456.0,1.0,401.95,5.0,1,56.05
52,1.0,495.06666666666666,13.0,257.5,0.3333333333333333,1844.0,1.0,634.75,6.0,1,54.85
53,1.0,177.30555555555554,8.0,87.5,0.5070422535211268,1082.0,1.0,133.95,4.0,1,47.7
54,1.0,189.48936170212767,6.0,86.0,0.42727272727272725,1718.0,1.0,223.0,1.0,1,40.4
55,1.0,584.3877551020408,15.0,163.0,0.5268817204301075,2838.0,1.0,1080.0,8.0,1,96.9
56,1.0,238.0344827586207,7.0,89.0,0.3118279569892473,1064.0,1.0,420.4,3.0,1,38.7
57,1.0,348.7435897435897,15.0,149.0,0.43333333333333335,2213.0,1.0,391.4,7.0,1,41.2
58,1.0,329.54285714285714,9.0,134.0,0.3465346534653465,1959.0,1.0,436.0,14.0,1,42.4
59,1.0,235.58333333333334,8.0,153.5,0.4444444444444444,1282.0,1.0,269.3,8.0,1,61.8
60,1.0,114.2,5.0,52.5,0.09523809523809523,425.0,1.0,100.25,22.0,2,41.5
61,1.0,274.46153846153845,7.0,129.0,0.19548872180451127,1222.0,1.0,273.6,3.0,2,30.65
62,1.0,24.6,1.0,15.0,0.05319148936170213,58.0,1.0,41.9,2.0,2,9.7
63,1.0,30.0,1.0,30.0,0.025974025974025976,33.0,1.0,33.0,27.0,2,27.0
64,1.0,44.05555555555556,2.0,30.0,0.16981132075471697,119.0,1.0,70.45,3.0,2,18.85
65,1.0,16.333333333333332,1.0,9.5,0.049586776859504134,50.0,1.0,22.45,2.0,2,5.8
66,1.0,36.166666666666664,3.0,30.0,0.12371134020618557,109.0,1.0,48.6,5.0,2,13.7
67,1.0,15.0,1.0,15.5,0.07317073170731707,30.0,1.0,23.35,2.0,2,3.9
68,1.0,75.375,4.0,74.5,0.21621621621621623,183.0,1.0,96.5,2.0,2,47.7
69,1.0,35.0,1.0,30.0,0.09322033898305085,72.0,1.0,50.0,1.0,2,25.2
70,1.0,203.63636363636363,5.0,79.5,0.21153846153846154,1062.0,1.0,125.7,1.0,2,28.75
71,1.0,91.83333333333333,1.0,35.0,0.06382978723404255,359.0,1.0,121.5,1.0,2,11.45
72,1.0,53.111111111111114,1.0,45.0,0.09278350515463918,136.0,1.0,64.9,16.0,2,31.6
73,1.0,48.61538461538461,3.0,44.0,0.13131313131313133,125.0,1.0,67.4,3.0,2,12.5
74,1.0,129.83333333333334,3.0,58.5,0.0594059405940594,347.0,1.0,292.85,1.0,2,22.85
75,1.0,60.81818181818182,2.0,54.0,0.08661417322834646,129.0,1.0,106.0,6.0,2,27.6
76,1.0,23.75,0.0,21.0,0.0392156862745098,40.0,1.0,34.6,13.0,2,13.45
77,1.0,116.55555555555556,4.0,31.0,0.07377049180327869,322.0,1.0,290.8,3.0,2,18.9
78,1.0,94.0,3.0,94.0,0.08823529411764706,184.0,1.0,139.6,3.0,2,44.2
79,1.0,56.8,3.0,43.0,0.05747126436781609,165.0,1.0,81.0,15.0,2,15.7
